fecha,sorteo_id,modalidad,n1,n2,n3,n4,n5,n6
14-12-2025,3330,TRADICIONAL,00,25,26,28,34,41
14-12-2025,3330,LA SEGUNDA,08,17,28,29,35,43
14-12-2025,3330,REVANCHA,04,06,16,22,34,36
14-12-2025,3330,SIEMPRE SALE,02,13,31,32,40,43
10-12-2025,3329,TRADICIONAL,03,05,12,24,29,41
10-12-2025,3329,LA SEGUNDA,03,05,12,24,29,41
10-12-2025,3329,REVANCHA,01,04,10,24,35,40
10-12-2025,3329,SIEMPRE SALE,05,07,11,36,41,43
7-12-2025,3328,TRADICIONAL,01,07,15,29,40,45
7-12-2025,3328,LA SEGUNDA,04,16,29,31,34,45
7-12-2025,3328,REVANCHA,01,07,15,29,40,45
7-12-2025,3328,SIEMPRE SALE,05,14,17,29,33,43
3-12-2025,3327,TRADICIONAL,06,21,22,34,37,42
3-12-2025,3327,LA SEGUNDA,02,03,12,19,27,38
3-12-2025,3327,REVANCHA,03,15,21,22,30,32
3-12-2025,3327,SIEMPRE SALE,01,07,27,31,36,42
30-11-2025,3326,TRADICIONAL,04,11,21,25,40,44
30-11-2025,3326,LA SEGUNDA,08,14,16,22,24,41
30-11-2025,3326,REVANCHA,02,03,13,16,19,28
30-11-2025,3326,SIEMPRE SALE,13,22,36,39,40,44
26-11-2025,3325,TRADICIONAL,02,04,10,18,32,44
26-11-2025,3325,LA SEGUNDA,08,21,24,26,33,35
26-11-2025,3325,REVANCHA,20,25,34,36,40,41
26-11-2025,3325,SIEMPRE SALE,11,16,18,27,34,45
23-11-2025,3324,TRADICIONAL,16,18,19,21,27,40
23-11-2025,3324,LA SEGUNDA,00,02,14,18,19,36
23-11-2025,3324,REVANCHA,00,02,06,17,27,40
23-11-2025,3324,SIEMPRE SALE,04,06,30,36,40,41
19-11-2025,3323,TRADICIONAL,12,14,24,29,37,45
19-11-2025,3323,LA SEGUNDA,03,18,29,30,33,34
19-11-2025,3323,REVANCHA,04,05,10,32,35,39
19-11-2025,3323,SIEMPRE SALE,22,25,38,40,41,43
16-11-2025,3322,TRADICIONAL,03,14,17,21,39,42
16-11-2025,3322,LA SEGUNDA,00,01,12,22,29,44
16-11-2025,3322,REVANCHA,02,07,10,20,22,26
16-11-2025,3322,SIEMPRE SALE,05,19,20,24,26,43
12-11-2025,3321,TRADICIONAL,02,09,16,20,38,45
12-11-2025,3321,LA SEGUNDA,04,19,23,24,38,39
12-11-2025,3321,REVANCHA,19,28,32,34,37,41
12-11-2025,3321,SIEMPRE SALE,00,12,13,16,22,32
